stream,method,n,final_average_accuracy_mean,final_average_accuracy_sd,final_average_accuracy_ci95_low,final_average_accuracy_ci95_high,average_incremental_accuracy_mean,average_incremental_accuracy_sd,average_incremental_accuracy_ci95_low,average_incremental_accuracy_ci95_high,mean_new_task_accuracy_mean,mean_new_task_accuracy_sd,mean_new_task_accuracy_ci95_low,mean_new_task_accuracy_ci95_high,backward_transfer_mean,backward_transfer_sd,backward_transfer_ci95_low,backward_transfer_ci95_high,mean_forgetting_mean,mean_forgetting_sd,mean_forgetting_ci95_low,mean_forgetting_ci95_high,worst_forgetting_mean,worst_forgetting_sd,worst_forgetting_ci95_low,worst_forgetting_ci95_high,max_anchor_drift_mean,max_anchor_drift_sd,max_anchor_drift_ci95_low,max_anchor_drift_ci95_high,elapsed_s_mean,elapsed_s_sd,elapsed_s_ci95_low,elapsed_s_ci95_high,parameter_bytes_mean,parameter_bytes_sd,parameter_bytes_ci95_low,parameter_bytes_ci95_high
corrupted_digits,functional_l2,20,0.9261111111111113,0.007866384726393352,0.9224295297327176,0.929792692489505,0.9257098765432099,0.007089549629960381,0.9223918651813594,0.9290278879050604,0.936351851851852,0.007166929844914116,0.9329976254346313,0.9397060782690727,-0.012800925925925927,0.006845914067495778,-0.016004912334626743,-0.009596939517225112,0.02006944444444445,0.006898442501929129,0.016840873971682144,0.023298014917206754,0.07064814814814815,0.023100535829571417,0.0598367645838892,0.08145953171240711,0.06949522178357743,0.009157157688884476,0.06520954006332057,0.0737809035038343,1.795352219849974,0.12218411492044794,1.7381682938315375,1.8525361458684106,3481600.0,0.0,3481600.0,3481600.0
corrupted_digits,joint_refit,20,0.9269814814814813,0.007866178220758573,0.9232999967506996,0.930662966212263,0.9243641975308643,0.006616090370762358,0.9212677719231714,0.9274606231385571,0.9385185185185184,0.00605607564934542,0.9356841878682559,0.9413528491687809,-0.014421296296296298,0.00808079971636625,-0.018203226978949705,-0.010639365613642893,0.02314814814814815,0.008048242294351604,0.019381454808033494,0.026914841488262807,0.0828703703703704,0.024610715450699656,0.07135220098714165,0.09438853975359915,0.12848450088542998,0.0288740206223444,0.11497104326290694,0.14199795850795302,1.855110228149988,0.06381638582655327,1.8252432402175092,1.884977216082467,3481600.0,0.0,3481600.0,3481600.0
corrupted_digits,mlp_ft,10,0.8987037037037038,0.012184440919394432,0.8899874797466234,0.9074199276607842,0.8864691358024691,0.006661380823760348,0.8817038710268916,0.8912344005780466,0.9249259259259259,0.005090403569934429,0.9212844705779956,0.9285673812738563,-0.03277777777777778,0.013569369942637223,-0.04248472027591408,-0.02307083527964148,0.04458333333333334,0.012865317864298136,0.03538003935159991,0.053786627315066775,0.14611111111111114,0.03074607024057762,0.1241166974330548,0.16810552478916746,0.9968508942295717,0.002219067443253063,0.995263469009226,0.9984383194499175,0.4313997352000115,0.013379950482240005,0.4218282952209956,0.44097117517902745,153680.0,0.0,153680.0,153680.0
corrupted_digits,mlp_joint,10,0.9436666666666668,0.007008714935564923,0.9386529340355306,0.9486803992978029,0.9359382716049384,0.005914612543100055,0.931707212676091,0.9401693305337857,0.931037037037037,0.0056704175434088,0.9269806646876223,0.9350934093864517,0.01578703703703704,0.004642215402905669,0.01246619618956508,0.019107877884509003,0.001898148148148146,0.001844765247193653,0.000578482588673486,0.0032178137076228058,0.0057407407407407355,0.005885277252618771,0.0015306670145278384,0.009950814466953633,0.4343705077372908,0.14779129290266368,0.32864698571703704,0.5400940297575445,1.0305108259998632,0.06525310643378113,0.983831565676419,1.0771900863233073,153680.0,0.0,153680.0,153680.0
corrupted_digits,mlp_replay,10,0.9356666666666668,0.005740541613432147,0.9315601305794861,0.9397732027538475,0.9323703703703703,0.0044845772239732705,0.9291622970828423,0.9355784436578983,0.9301111111111112,0.00438593170155644,0.9269736045792871,0.9332486176429353,0.006944444444444436,0.0058357007411077196,0.002769835618114903,0.01111905327077397,0.005972222222222226,0.0038945799040682677,0.003186207591992422,0.00875823685245203,0.013148148148148154,0.007222486013964809,0.00798149289978189,0.018314803396514416,0.8765161589801869,0.07508908545123172,0.8228006631396269,0.9302316548207469,0.6703759499000626,0.02728444224651652,0.6508578357134592,0.6898940640866659,153680.0,0.0,153680.0,153680.0
corrupted_digits,param_null,20,0.9217777777777776,0.007587099234624765,0.9182269060330357,0.9253286495225195,0.9234506172839507,0.006600819736989777,0.9203613385528585,0.9265398960150429,0.9350185185185186,0.0068160383256279525,0.9318285143874144,0.9382085226496227,-0.01655092592592593,0.007097683866811294,-0.01987274422780786,-0.013229107624044003,0.023263888888888896,0.007319894539907908,0.019838072790737488,0.026689704987040305,0.0811111111111111,0.023613069903077738,0.0700598542166701,0.09216236800555211,1.0364754610137083e-10,5.12596440441682e-11,7.965729422074309e-11,1.2763779798199858e-10,1.619056927449924,0.09065411711656596,1.5766294946380925,1.6614843602617555,3481600.0,0.0,3481600.0,3481600.0
corrupted_digits,replay,20,0.9325000000000001,0.008259801204258324,0.9286342940422426,0.9363657059577576,0.9299814814814814,0.007381943996609374,0.9265266253436831,0.9334363376192797,0.937962962962963,0.007244305718663618,0.9345725235221182,0.9413534024038078,-0.006828703703703702,0.006661512180509827,-0.009946387372724075,-0.0037110200346833306,0.015300925925925926,0.006139096165782622,0.012427740477942368,0.018174111373909486,0.05462962962962964,0.02221816077245383,0.04423121030396732,0.06502804895529196,0.23582829077556067,0.028739602200495172,0.2223777429109513,0.24927883864017003,1.779173413700073,0.12806851926341128,1.7192355016759295,1.8391113257242164,3481600.0,0.0,3481600.0,3481600.0
corrupted_digits,unwrapped,20,0.7027407407407408,0.039531842699904826,0.6842392688448592,0.7212422126366224,0.7824938271604938,0.027835074832204352,0.7694666111352456,0.7955210431857419,0.926425925925926,0.005710351559891008,0.9237533991301745,0.9290984527216775,-0.27960648148148143,0.04878507232640948,-0.3024385981484788,-0.25677436481448407,0.2815972222222222,0.04892255540662466,0.25870076149304516,0.3044936829513993,0.48157407407407404,0.09061927463186932,0.43916294804703604,0.523985200101112,6.451051274964257,1.3299743899510976,5.8286041002976,7.073498449630915,1.312622254100006,0.07495192742738684,1.2775436722750488,1.3477008359249634,3481600.0,0.0,3481600.0,3481600.0
corrupted_digits,vanish,20,0.9199444444444446,0.007315487175159274,0.9165206910564898,0.9233681978323993,0.9218148148148148,0.0064731497549200346,0.9187852874745986,0.9248443421550309,0.9348703703703704,0.006099167251904407,0.9320158722293145,0.9377248685114262,-0.018657407407407407,0.007936882127074121,-0.02237198258493487,-0.014942832229879943,0.025439814814814814,0.007545429218653607,0.021908445237863127,0.0289711843917665,0.09046296296296295,0.02687805403043395,0.07788364646018688,0.10304227946573903,9.307119297474742e-10,1.1625984335017389e-10,8.763006481714697e-10,9.851232113234787e-10,1.5428102887500017,0.09830007059781738,1.496804439558128,1.5888161379418755,4547200.0,0.0,4547200.0,4547200.0
permuted_digits,functional_l2,20,0.9031851851851853,0.011167110345845223,0.8979588166652488,0.9084115537051218,0.9209197530864198,0.011195010293918993,0.9156803269888464,0.9261591791839933,0.926611111111111,0.009024529580091086,0.9223875012564657,0.9308347209657564,-0.029282407407407403,0.006056587875715781,-0.0321169777869906,-0.0264478370278242,0.02981481481481481,0.0058433420741826865,0.02708004654245766,0.032549583087171964,0.046203703703703705,0.008378693958724988,0.04228235422403687,0.050125053183370544,0.017374934513257327,0.0030982729702705,0.015924898128149297,0.018824970898365358,1.8037873762999652,0.10711073363397985,1.753658009877056,1.8539167427228744,3481600.0,0.0,3481600.0,3481600.0
