stream,method,n,final_acc_pct,final_acc_ci95_pct,forget_pct,forget_ci95_pct,anchor_drift,seconds,memory_mib
corrupted_digits,functional_l2,20,92.61111111111113,0.36815813783936946,2.006944444444445,0.3228570472762305,0.06949522178357743,1.795352219849974,3.3203125
corrupted_digits,joint_refit,20,92.69814814814814,0.368148473078167,2.314814814814815,0.3766693340114657,0.12848450088542998,1.855110228149988,3.3203125
corrupted_digits,mlp_ft,10,89.87037037037038,0.8716223957080382,4.458333333333334,0.9203293981733431,0.9968508942295717,0.4313997352000115,0.1465606689453125
corrupted_digits,mlp_joint,10,94.36666666666667,0.5013732631136136,0.1898148148148146,0.131966555947466,0.4343705077372908,1.0305108259998632,0.1465606689453125
corrupted_digits,mlp_replay,10,93.56666666666668,0.4106536087180701,0.5972222222222225,0.2786014630229804,0.8765161589801869,0.6703759499000626,0.1465606689453125
corrupted_digits,param_null,20,92.17777777777776,0.355087174474189,2.3263888888888897,0.34258160981514085,1.0364754610137083e-10,1.619056927449924,3.3203125
corrupted_digits,replay,20,93.25000000000001,0.38657059577574815,1.5300925925925926,0.28731854479835595,0.23582829077556067,1.779173413700073,3.3203125
corrupted_digits,unwrapped,20,70.27407407407408,1.8501471895881583,28.15972222222222,2.289646072917706,6.451051274964257,1.312622254100006,3.3203125
corrupted_digits,vanish,20,91.99444444444445,0.3423753387954753,2.5439814814814814,0.35313695769516873,9.307119297474742e-10,1.5428102887500017,4.3365478515625
permuted_digits,functional_l2,20,90.31851851851853,0.522636851993652,2.981481481481481,0.27347682723571526,0.017374934513257327,1.8037873762999652,3.3203125
permuted_digits,joint_refit,20,93.9314814814815,0.4251970197184596,0.768518518518519,0.15819418538367044,0.0404309868352447,1.8486729565500355,3.3203125
permuted_digits,mlp_ft,10,53.396296296296306,2.7329111683460305,47.07870370370371,3.498635851127241,0.9858236199092062,0.4595101026000066,0.1465606689453125
permuted_digits,mlp_joint,10,89.9148148148148,0.865137501114388,1.7037037037037046,0.3861601926043603,0.2790144766461009,1.15965826799993,0.1465606689453125
permuted_digits,mlp_replay,10,86.05185185185185,0.8931853826247393,6.171296296296296,1.1976718570467755,0.9322590376806564,0.7415476177000528,0.1465606689453125
permuted_digits,param_null,20,90.22962962962964,0.5195170389449388,3.039351851851851,0.2650224877788853,1.7852386235972517e-13,1.6132771508499673,3.3203125
permuted_digits,replay,20,90.8074074074074,0.4809821349714083,2.636574074074074,0.23288471535190225,0.10057375552515005,1.7850474577000568,3.3203125
permuted_digits,unwrapped,20,37.40740740740741,1.3923087464820016,69.60416666666667,1.6276021027855192,5.7132075766405075,1.3476429617000805,3.3203125
permuted_digits,vanish,20,91.49629629629628,0.45453783600396536,2.1874999999999996,0.22950745965831276,2.583833147440373e-11,1.5510055748498872,4.3365478515625
rotated_digits,functional_l2,20,94.30740740740742,0.3101337321888442,0.6828703703703705,0.15254447569131666,0.07113532526034251,1.7784447808999857,3.3203125
rotated_digits,joint_refit,20,95.11111111111111,0.30818487520664073,0.5763888888888891,0.1085588156589888,0.1370624589682879,1.824587875300017,3.3203125
rotated_digits,mlp_ft,10,63.259259259259245,1.872125508209721,36.23611111111112,2.3215983693462947,0.9908554397183316,0.5121302957999433,0.1465606689453125
rotated_digits,mlp_joint,10,91.60740740740741,0.6462389962258674,1.0601851851851851,0.19339543228935624,0.4955063490699329,1.2680409572999907,0.1465606689453125
rotated_digits,mlp_replay,10,89.98518518518519,0.6580791451784473,3.0046296296296293,0.524449802907298,0.9386789385548029,0.8252950798999337,0.1465606689453125
rotated_digits,param_null,20,93.95370370370371,0.32583763117609577,0.7337962962962965,0.19229778674322243,2.7554436510257573e-11,1.6408863646499412,3.3203125
rotated_digits,replay,20,94.7296296296296,0.29652674054750916,0.6296296296296298,0.11644898875195686,0.2598192910672438,1.760373033399992,3.3203125
rotated_digits,unwrapped,20,54.16296296296296,1.4942874879322665,50.14351851851851,1.943967182730777,5.088766196887694,1.3155462928999895,3.3203125
rotated_digits,vanish,20,94.16851851851852,0.29846032341046547,1.0532407407407411,0.1494351711299028,1.577073249769967e-10,1.5269421600500437,4.3365478515625
shape_stream,functional_l2,20,70.975,0.7604681435652072,2.994444444444445,0.38119057013491775,0.06686208717955602,1.4150331357500137,8.28125
shape_stream,joint_refit,20,79.52499999999999,0.4542734560175954,1.4166666666666674,0.43067908194176696,0.07553324589780375,1.2936721368499775,8.28125
shape_stream,mlp_ft,10,79.3625,0.9346830492030556,6.2,0.9395724507574449,0.9976142563360384,0.9998929813000814,0.764678955078125
